,代號,殖利率
0,1102,0.0761
1,1109,0.0806
2,1218,0.1318
3,1219,0.0523
4,1220,0.0656
5,1305,0.103999995
6,1308,0.114700004
7,1309,0.099
8,1312,0.102
9,1315,0.085200004
10,1325,0.081099994
11,1338,0.056199998
12,1341,0.1277
13,1409,0.0805
14,1436,0.069
15,1452,0.11399999
16,1455,0.0758
17,1456,0.09060001
18,1457,0.0535
19,1466,0.0866
20,1477,0.0639
21,1515,0.08979999
22,1516,0.0727
23,1526,0.1435
24,1527,0.056999996
25,1532,0.0574
26,1541,0.0714
27,1558,0.0763
28,1582,0.088599995
29,1604,0.0554
30,1608,0.060700003
31,1612,0.0996
32,1708,0.0519
33,1709,0.0665
34,1712,0.0783
35,1725,0.0541
36,1730,0.050100002
37,1802,0.0986
38,1806,0.096599996
39,1817,0.0514
40,1904,0.0571
41,2002,0.1042
42,2006,0.060399998
43,2012,0.0542
44,2014,0.1172
45,2015,0.058000002
46,2028,0.1247
47,2030,0.0871
48,2031,0.081999995
49,2032,0.0647
50,2034,0.051599998
51,2038,0.0743
52,2069,0.1122
53,2103,0.0916
54,2107,0.0543
55,2108,0.052199997
56,2109,0.0614
57,2114,0.060599998
58,2236,0.0635
59,2247,0.050300002
60,2301,0.0728
61,2303,0.0699
62,2313,0.061300002
63,2337,0.0545
64,2340,0.0796
65,2342,0.0623
66,2347,0.059699997
67,2348,0.097399995
68,2352,0.0577
69,2357,0.1338
70,2373,0.0748
71,2376,0.0548
72,2377,0.0583
73,2379,0.0684
74,2382,0.05
75,2385,0.0708
76,2387,0.0718
77,2390,0.0784
78,2393,0.0706
79,2399,0.056700002
80,2401,0.074499995
81,2404,0.0587
82,2409,0.1752
83,2414,0.0779
84,2420,0.0654
85,2423,0.052399997
86,2426,0.052600004
87,2430,0.091000006
88,2433,0.0652
89,2441,0.088999994
90,2449,0.0556
91,2450,0.060500003
92,2451,0.0784
93,2454,0.099
94,2458,0.13149999
95,2459,0.060100004
96,2461,0.121199995
97,2464,0.0582
98,2467,0.0738
99,2472,0.0515
100,2474,0.054
101,2478,0.0838
102,2480,0.052800003
103,2489,0.0538
104,2493,0.0586
105,2496,0.0627
106,2504,0.068
107,2520,0.083500005
108,2527,0.1247
109,2534,0.053000003
110,2535,0.0753
